step1,step2,step3,step4,total_duration,from_edge,to_edge
sayat_nova_3-,sayat_nova_2-,alek_manukyan_2,isahakyan_1,298,177211987#1,430416184
sayat_nova_3-,sayat_nova_2-,alek_manukyan_2,charents_2-,279,177211987#1,683079387#1
sayat_nova_3,sayat_nova_4,sayat_nova_5-,abovyan_5,257,134194079#0,134193294#0
sayat_nova_3,sayat_nova_4,sayat_nova_5-,sayat_nova_4-,253,134194079#0,1328664748#0
sayat_nova_3,nalbandyan_3-,nalbandyan_2-,isahakyan_1,193,134194079#0,430416184
sayat_nova_3,nalbandyan_3-,nalbandyan_2-,nalbandyan_1-,163,134194079#0,1342963997
sayat_nova_3,nalbandyan_3-,khanjyan_1-,khanjyan_2-,277,134194079#0,138000492#0
sayat_nova_3,nalbandyan_3-,khanjyan_1-,sayat_nova_2-,243,134194079#0,688883939#0
khanjyan_1-,sayat_nova_3,sayat_nova_4,sayat_nova_5-,300,799091563#0,133126030#0
khanjyan_1-,sayat_nova_3,sayat_nova_4,abovyan_5,294,799091563#0,134193294#0
khanjyan_1-,sayat_nova_3,nalbandyan_3-,nalbandyan_2-,243,799091563#0,1254519229#0
khanjyan_1-,sayat_nova_2-,sayat_nova_1-,charents_1-,251,799091563#0,-809772643#1
khanjyan_1-,sayat_nova_2-,sayat_nova_1-,charents_2-,356,799091563#0,683079387#1
khanjyan_1-,sayat_nova_2-,alek_manukyan_2,heratsi_2,401,799091563#0,380585336
khanjyan_1-,sayat_nova_2-,alek_manukyan_2,isahakyan_1,325,799091563#0,430416184
khanjyan_1-,sayat_nova_2-,alek_manukyan_2,charents_2-,306,799091563#0,683079387#1
khanjyan_1,nalbandyan_2-,isahakyan_1,isahakyan_2,155,189240000#0-AddedOnRampEdge,186407685
khanjyan_1,nalbandyan_2-,isahakyan_1,abovyan_2-,163,189240000#0-AddedOnRampEdge,1091883842
khanjyan_1,nalbandyan_2-,isahakyan_1,abovyan_3,295,189240000#0-AddedOnRampEdge,186407684#0
khanjyan_1,nalbandyan_2-,nalbandyan_1-,heratsi_2,276,189240000#0-AddedOnRampEdge,380585336
khanjyan_1,nalbandyan_2-,nalbandyan_1-,charents_2-,143,189240000#0-AddedOnRampEdge,683079387#1
khanjyan_1,nalbandyan_3,sayat_nova_4,sayat_nova_5-,335,189240000#0-AddedOnRampEdge,133126030#0
khanjyan_1,nalbandyan_3,sayat_nova_4,abovyan_5,329,189240000#0-AddedOnRampEdge,134193294#0
khanjyan_1,nalbandyan_3,sayat_nova_3-,sayat_nova_2-,307,189240000#0-AddedOnRampEdge,688883939#0
khanjyan_1,nalbandyan_3,sayat_nova_3-,khanjyan_2-,339,189240000#0-AddedOnRampEdge,138000492#0
heratsi_1-,khanjyan_1,nalbandyan_2-,isahakyan_1,122,-138000461,430416184
heratsi_1-,khanjyan_1,nalbandyan_2-,nalbandyan_1-,92,-138000461,1342963997
heratsi_1-,khanjyan_1,nalbandyan_3,nalbandyan_4,268,-138000461,135474719#0
heratsi_1-,khanjyan_1,nalbandyan_3,sayat_nova_4,259,-138000461,1328664744#0
heratsi_1-,khanjyan_1,nalbandyan_3,sayat_nova_3-,253,-138000461,177211987#1
heratsi_2-,koryun_1,koryun_2,koryun_3,205,134133272,380585337#0
