Origin,Destination,Distance_m,Duration_s
moskovyan_2,mesrop_mashtoc_1,1118,221
moskovyan_2,baghramyan_1,915,225
moskovyan_2,mesrop_mashtoc_4,663,222
moskovyan_2,mesrop_mashtoc_3-,562,216
moskovyan_2,moskovyan_3,272,52
moskovyan_2,teryan_4,321,68
moskovyan_2,teryan_3-,223,47
moskovyan_2,teryan_5,594,151
moskovyan_2,isahakyan_4,745,176
moskovyan_2,koryun_3-,932,187
moskovyan_2,mesrop_mashtoc_1,1118,221
moskovyan_2,baghramyan_1,915,225
moskovyan_2,mesrop_mashtoc_4,663,222
moskovyan_2,mesrop_mashtoc_3-,562,216
moskovyan_2,moskovyan_3,272,52
moskovyan_2,teryan_4,321,68
moskovyan_2,teryan_3-,223,47
moskovyan_2,teryan_5,594,151
moskovyan_2,isahakyan_4,745,176
moskovyan_2,koryun_3-,932,187
moskovyan_2,mesrop_mashtoc_1,1118,221
moskovyan_2,baghramyan_1,915,225
moskovyan_2,mesrop_mashtoc_4,663,222
moskovyan_2,mesrop_mashtoc_3-,562,216
moskovyan_2,moskovyan_3,272,52
moskovyan_2,teryan_4,321,68
moskovyan_2,teryan_3-,223,47
moskovyan_2,teryan_5,594,151
teryan_4,isahakyan_4,728,181
teryan_4,koryun_3-,915,192
teryan_4,mesrop_mashtoc_1,1101,226
teryan_4,baghramyan_1,575,174
teryan_4,mesrop_mashtoc_4,641,176
teryan_4,mesrop_mashtoc_3-,540,171
teryan_4,moskovyan_3,255,62
teryan_4,teryan_4,0,0
teryan_4,teryan_3-,206,52
teryan_4,teryan_5,273,83
teryan_4,sayat_nova_6,343,96
teryan_4,sayat_nova_5-,588,187
teryan_4,teryan_5,273,83
teryan_4,teryan_4-,0,0
teryan_4,teryan_4-,0,0
teryan_4,sayat_nova_5-,588,187
teryan_4,teryan_4-,0,0
teryan_4,sayat_nova_6,343,96
teryan_4,teryan_5,273,83
teryan_4,abovyan_5,800,196
sayat_nova_6-,sayat_nova_6,57,25
sayat_nova_6-,sayat_nova_5-,269,84
sayat_nova_6-,teryan_5,259,84
sayat_nova_6-,teryan_4-,345,97
sayat_nova_6-,teryan_4-,345,97
sayat_nova_6-,sayat_nova_5-,269,84
sayat_nova_6-,teryan_4-,345,97
sayat_nova_6-,sayat_nova_6,57,25
sayat_nova_6-,teryan_5,259,84
sayat_nova_6-,abovyan_5,469,138
sayat_nova_6-,sayat_nova_6,57,25
sayat_nova_6-,sayat_nova_5-,269,84
sayat_nova_6-,teryan_5,259,84
sayat_nova_6-,teryan_4-,345,97
sayat_nova_6-,teryan_4-,345,97
sayat_nova_6-,sayat_nova_5-,269,84
sayat_nova_6-,teryan_4-,345,97
sayat_nova_6-,sayat_nova_6,57,25
sayat_nova_6-,teryan_5,259,84
sayat_nova_6-,abovyan_5,469,138
sayat_nova_6-,sayat_nova_6,57,25
sayat_nova_6-,sayat_nova_5-,269,84
sayat_nova_6-,teryan_5,259,84
sayat_nova_6-,teryan_4-,345,97
sayat_nova_6-,teryan_4-,345,97
sayat_nova_6-,sayat_nova_5-,269,84
sayat_nova_6-,teryan_4-,345,97
sayat_nova_6-,sayat_nova_6,57,25
sayat_nova_6-,teryan_5,259,84
sayat_nova_6-,abovyan_5,469,138
teryan_5-,sayat_nova_6,461,173
teryan_5-,sayat_nova_5-,196,73
teryan_5-,teryan_5,1,0
teryan_5-,teryan_4-,272,80
teryan_5-,teryan_4-,272,80
teryan_5-,sayat_nova_5-,196,73
teryan_5-,teryan_4-,272,80
teryan_5-,sayat_nova_6,461,173
teryan_5-,teryan_5,1,0
teryan_5-,abovyan_5,396,127
teryan_5-,sayat_nova_6,461,173
teryan_5-,sayat_nova_5-,196,73
teryan_5-,teryan_5,1,0
teryan_5-,teryan_4-,272,80
teryan_5-,teryan_4-,272,80
teryan_5-,sayat_nova_5-,196,73
teryan_5-,teryan_4-,272,80
teryan_5-,sayat_nova_6,461,173
teryan_5-,teryan_5,1,0
teryan_5-,abovyan_5,396,127
sayat_nova_5,sayat_nova_6,267,61
sayat_nova_5,sayat_nova_5-,1,0
sayat_nova_5,teryan_5,198,58
sayat_nova_5,teryan_4-,284,78
sayat_nova_5,teryan_4-,284,78
sayat_nova_5,sayat_nova_5-,1,0
sayat_nova_5,teryan_4-,284,78
sayat_nova_5,sayat_nova_6,267,61
sayat_nova_5,teryan_5,198,58
sayat_nova_5,abovyan_5,199,53
sayat_nova_5,sayat_nova_6,267,61
sayat_nova_5,sayat_nova_5-,1,0
sayat_nova_5,teryan_5,198,58
sayat_nova_5,teryan_4-,284,78
sayat_nova_5,teryan_4-,284,78
sayat_nova_5,sayat_nova_5-,1,0
sayat_nova_5,teryan_4-,284,78
sayat_nova_5,sayat_nova_6,267,61
sayat_nova_5,teryan_5,198,58
sayat_nova_5,abovyan_5,199,53
sayat_nova_5,sayat_nova_6,267,61
sayat_nova_5,sayat_nova_5-,1,0
sayat_nova_5,teryan_5,198,58
sayat_nova_5,teryan_4-,284,78
sayat_nova_5,teryan_4-,284,78
sayat_nova_5,sayat_nova_5-,1,0
sayat_nova_5,teryan_4-,284,78
sayat_nova_5,sayat_nova_6,267,61
sayat_nova_5,teryan_5,198,58
sayat_nova_5,abovyan_5,199,53
sayat_nova_5-,sayat_nova_6,266,61
sayat_nova_5-,sayat_nova_5-,0,0
sayat_nova_5-,teryan_5,197,57
sayat_nova_5-,teryan_4-,283,78
sayat_nova_5-,teryan_4-,283,78
sayat_nova_5-,sayat_nova_5-,0,0
sayat_nova_5-,teryan_4-,283,78
sayat_nova_5-,sayat_nova_6,266,61
sayat_nova_5-,teryan_5,197,57
sayat_nova_5-,abovyan_5,200,54
sayat_nova_5-,sayat_nova_4-,226,51
sayat_nova_5-,moskovyan_3,538,140
sayat_nova_5-,teryan_3-,489,130
sayat_nova_5-,sayat_nova_5-,0,0
sayat_nova_5-,abovyan_5,200,54
sayat_nova_5-,abovyan_5,200,54
sayat_nova_5-,sayat_nova_5,1,0
sayat_nova_5-,sayat_nova_4-,226,51
sayat_nova_5-,mesrop_mashtoc_2,913,236
sayat_nova_5-,isahakyan_4,830,233
teryan_4-,sayat_nova_4-,825,201
teryan_4-,moskovyan_3,255,62
teryan_4-,teryan_3-,206,52
teryan_4-,sayat_nova_5-,588,187
teryan_4-,abovyan_5,800,196
teryan_4-,abovyan_5,800,196
teryan_4-,sayat_nova_5,589,187
teryan_4-,sayat_nova_4-,825,201
teryan_4-,mesrop_mashtoc_2,630,158
teryan_4-,isahakyan_4,728,181
teryan_4-,sayat_nova_4-,825,201
teryan_4-,moskovyan_3,255,62
teryan_4-,teryan_3-,206,52
teryan_4-,sayat_nova_5-,588,187
teryan_4-,abovyan_5,800,196
teryan_4-,abovyan_5,800,196
teryan_4-,sayat_nova_5,589,187
teryan_4-,sayat_nova_4-,825,201
teryan_4-,mesrop_mashtoc_2,630,158
teryan_4-,isahakyan_4,728,181
sayat_nova_4,sayat_nova_4-,2,1
sayat_nova_4,moskovyan_3,766,213
sayat_nova_4,teryan_3-,717,202
sayat_nova_4,sayat_nova_5-,228,73
sayat_nova_4,abovyan_5,217,71
sayat_nova_4,abovyan_5,217,71
sayat_nova_4,sayat_nova_5,227,73
sayat_nova_4,sayat_nova_4-,2,1
sayat_nova_4,mesrop_mashtoc_2,1141,309
sayat_nova_4,isahakyan_4,1058,306
sayat_nova_4,sayat_nova_4-,2,1
sayat_nova_4,moskovyan_3,766,213
sayat_nova_4,teryan_3-,717,202
sayat_nova_4,sayat_nova_5-,228,73
sayat_nova_4,abovyan_5,217,71
sayat_nova_4,abovyan_5,217,71
sayat_nova_4,sayat_nova_5,227,73
sayat_nova_4,sayat_nova_4-,2,1
sayat_nova_4,mesrop_mashtoc_2,1141,309
sayat_nova_4,isahakyan_4,1058,306
abovyan_4,sayat_nova_4-,298,85
abovyan_4,moskovyan_3,822,229
abovyan_4,teryan_3-,773,219
abovyan_4,sayat_nova_5-,284,89
abovyan_4,abovyan_5,273,80
abovyan_4,abovyan_5,273,80
abovyan_4,sayat_nova_5,283,89
abovyan_4,sayat_nova_4-,298,85
abovyan_4,mesrop_mashtoc_2,1197,326
abovyan_4,isahakyan_4,1114,323
abovyan_4,sayat_nova_4-,298,85
abovyan_4,moskovyan_3,822,229
abovyan_4,teryan_3-,773,219
abovyan_4,sayat_nova_5-,284,89
abovyan_4,abovyan_5,273,80
abovyan_4,abovyan_5,273,80
abovyan_4,sayat_nova_5,283,89
abovyan_4,sayat_nova_4-,298,85
abovyan_4,mesrop_mashtoc_2,1197,326
abovyan_4,isahakyan_4,1114,323
abovyan_4,sayat_nova_4-,298,85
abovyan_4,moskovyan_3,822,229
abovyan_4,teryan_3-,773,219
abovyan_4,sayat_nova_5-,284,89
abovyan_4,abovyan_5,273,80
abovyan_4,abovyan_5,273,80
abovyan_4,sayat_nova_5,283,89
abovyan_4,sayat_nova_4-,298,85
abovyan_4,mesrop_mashtoc_2,1197,326
abovyan_4,isahakyan_4,1114,323
isahakyan_3,sayat_nova_4-,1266,292
isahakyan_3,moskovyan_3,695,153
isahakyan_3,teryan_3-,646,148
isahakyan_3,sayat_nova_5-,846,256
isahakyan_3,abovyan_5,1240,287
isahakyan_3,abovyan_5,1240,287
isahakyan_3,sayat_nova_5,847,256
isahakyan_3,sayat_nova_4-,1266,292
isahakyan_3,mesrop_mashtoc_2,215,57
isahakyan_3,isahakyan_4,314,79
isahakyan_3,sayat_nova_4-,1266,292
isahakyan_3,moskovyan_3,695,153
isahakyan_3,teryan_3-,646,148
isahakyan_3,sayat_nova_5-,846,256
isahakyan_3,abovyan_5,1240,287
isahakyan_3,abovyan_5,1240,287
isahakyan_3,sayat_nova_5,847,256
isahakyan_3,sayat_nova_4-,1266,292
isahakyan_3,mesrop_mashtoc_2,215,57
isahakyan_3,isahakyan_4,314,79
isahakyan_3,mesrop_mashtoc_1-,257,58
isahakyan_3,teryan_4,744,170
isahakyan_3,moskovyan_3,695,153
isahakyan_3,isahakyan_3,0,0
isahakyan_3,teryan_2-,734,163
isahakyan_3,moskovyan_4,953,199
isahakyan_3,abovyan_4,968,207
isahakyan_3,abovyan_3-,854,188
isahakyan_3,isahakyan_3,0,0
isahakyan_3,teryan_3,646,148
teryan_3,mesrop_mashtoc_1-,461,107
teryan_3,teryan_4,206,44
teryan_3,moskovyan_3,156,38
teryan_3,isahakyan_3,204,49
teryan_3,teryan_2-,153,38
teryan_3,moskovyan_4,414,84
teryan_3,abovyan_4,429,92
teryan_3,abovyan_3-,315,73
teryan_3,isahakyan_3,204,49
teryan_3,teryan_3,0,0
teryan_3,mesrop_mashtoc_1-,461,107
teryan_3,teryan_4,206,44
teryan_3,moskovyan_3,156,38
teryan_3,isahakyan_3,204,49
teryan_3,teryan_2-,153,38
teryan_3,moskovyan_4,414,84
teryan_3,abovyan_4,429,92
teryan_3,abovyan_3-,315,73
teryan_3,isahakyan_3,204,49
teryan_3,teryan_3,0,0
teryan_3-,mesrop_mashtoc_1-,465,108
teryan_3-,teryan_4,206,44
teryan_3-,moskovyan_3,157,38
teryan_3-,isahakyan_3,208,50
teryan_3-,teryan_2-,157,39
teryan_3-,moskovyan_4,414,84
teryan_3-,abovyan_4,429,92
teryan_3-,abovyan_3-,315,73
teryan_3-,isahakyan_3,208,50
teryan_3-,teryan_3,0,0
teryan_3-,mesrop_mashtoc_1-,465,108
teryan_3-,teryan_4,206,44
teryan_3-,moskovyan_3,157,38
teryan_3-,isahakyan_3,208,50
teryan_3-,teryan_2-,157,39
teryan_3-,moskovyan_4,414,84
teryan_3-,abovyan_4,429,92
teryan_3-,abovyan_3-,315,73
teryan_3-,isahakyan_3,208,50
teryan_3-,teryan_3,0,0
moskovyan_3,mesrop_mashtoc_1-,1446,300
moskovyan_3,teryan_4,840,221
moskovyan_3,moskovyan_3,0,0
moskovyan_3,isahakyan_3,1189,243
moskovyan_3,teryan_2-,1138,245
moskovyan_3,moskovyan_4,258,46
moskovyan_3,abovyan_4,272,54
moskovyan_3,abovyan_3-,158,35
moskovyan_3,isahakyan_3,1189,243
moskovyan_3,teryan_3,1086,229
moskovyan_3,mesrop_mashtoc_1-,1446,300
moskovyan_3,teryan_4,840,221
moskovyan_3,moskovyan_3,0,0
moskovyan_3,isahakyan_3,1189,243
moskovyan_3,teryan_2-,1138,245
moskovyan_3,moskovyan_4,258,46
